LAD20CD,LAD20NM,CTYUA20CD,CTYUA20NM,GOV_NM,RGN19CD,RGN19NM,CTRY19CD,CTRY19NM,Tier
E06000001,Hartlepool,E06000001,Hartlepool,Hartlepool,E12000001,North East,E92000001,England,3
E06000002,Middlesbrough,E06000002,Middlesbrough,Middlesbrough,E12000001,North East,E92000001,England,3
E06000003,Redcar and Cleveland,E06000002,Redcar and Cleveland,Redcar and Cleveland,E12000001,North East,E92000001,England,3
E06000004,Stockton-on-Tees,E06000004,Stockton-on-Tees,Stockton-on-Tees,E12000001,North East,E92000001,England,3
E06000005,Darlington,E06000005,Darlington,Darlington,E12000001,North East,E92000001,England,3
E06000006,Halton,E06000006,Halton,Liverpool City Region,E12000002,North West,E92000001,England,2
E06000007,Warrington,E06000007,Warrington,Warrington and Cheshire,E12000002,North West,E92000001,England,2
E06000008,Blackburn with Darwen,E06000008,Blackburn with Darwen,Blackburn with Darwen,E12000002,North West,E92000001,England,3
E06000009,Blackpool,E06000009,Blackpool,Blackpool,E12000002,North West,E92000001,England,3
E06000010,"Kingston upon Hull, City of",E06000010,"Kingston upon Hull, City of",The Humber,E12000003,Yorkshire and The Humber,E92000001,England,3
E06000011,East Riding of Yorkshire,E06000011,East Riding of Yorkshire,The Humber,E12000003,Yorkshire and The Humber,E92000001,England,3
E06000012,North East Lincolnshire,E06000012,North East Lincolnshire,Lincolnshire,E12000003,Yorkshire and The Humber,E92000001,England,3
E06000013,North Lincolnshire,E06000013,North Lincolnshire,Lincolnshire,E12000003,Yorkshire and The Humber,E92000001,England,3
E06000014,York,E06000014,York,York,E12000003,Yorkshire and The Humber,E92000001,England,2
E06000015,Derby,E06000015,Derby,Derby and Derbyshire,E12000004,East Midlands,E92000001,England,3
E06000016,Leicester,E06000016,Leicester,Leicester and Leicestershire,E12000004,East Midlands,E92000001,England,3
E06000017,Rutland,E06000017,Rutland,Rutland,E12000004,East Midlands,E92000001,England,2
E06000018,Nottingham,E06000018,Nottingham,Nottingham and Nottinghamshire,E12000004,East Midlands,E92000001,England,3
E06000019,"Herefordshire, County of",E06000019,"Herefordshire, County of",Herefordshire,E12000005,West Midlands,E92000001,England,1
E06000020,Telford and Wrekin,E06000020,Telford and Wrekin,Shropshire and Telford & Wrekin,E12000005,West Midlands,E92000001,England,2
E06000021,Stoke-on-Trent,E06000021,Stoke-on-Trent,Staffordshire and Stoke-on-Trent,E12000005,West Midlands,E92000001,England,3
E06000022,Bath and North East Somerset,E06000022,Bath and North East Somerset,Bath and North East Somerset,E12000009,South West,E92000001,England,2
E06000023,"Bristol, City of",E06000023,"Bristol, City of",Bristol,E12000009,South West,E92000001,England,2
E06000024,North Somerset,E06000024,North Somerset,North Somerset,E12000009,South West,E92000001,England,2
E06000025,South Gloucestershire,E06000025,South Gloucestershire,South Gloucestershire,E12000009,South West,E92000001,England,3
E06000026,Plymouth,E06000026,Plymouth,Devon,E12000009,South West,E92000001,England,2
E06000027,Torbay,E06000027,Torbay,Devon,E12000009,South West,E92000001,England,2
E06000030,Swindon,E06000030,Swindon,Wiltshire and Swindon,E12000009,South West,E92000001,England,2
E06000031,Peterborough,E06000031,Peterborough,"Cambridgeshire, including Peterborough",E12000006,East of England,E92000001,England,4
E06000032,Luton,E06000032,Luton,Bedfordshire and Milton Keynes,E12000006,East of England,E92000001,England,4
E06000033,Southend-on-Sea,E06000033,Southend-on-Sea,"Essex, Thurrock and Southend on Sea",E12000006,East of England,E92000001,England,4
E06000034,Thurrock,E06000034,Thurrock,"Essex, Thurrock and Southend on Sea",E12000006,East of England,E92000001,England,4
E06000035,Medway,E06000035,Medway,Kent and Medway,E12000008,South East,E92000001,England,4
E06000036,Bracknell Forest,E06000036,Bracknell Forest,Bracknell Forest,E12000008,South East,E92000001,England,4
E06000037,West Berkshire,E06000037,West Berkshire,West Berkshire,E12000008,South East,E92000001,England,4
E06000038,Reading,E06000038,Reading,Reading,E12000008,South East,E92000001,England,4
E06000039,Slough,E06000039,Slough,Slough (remainder of Berkshire is tier 2: High alert),E12000008,South East,E92000001,England,4
E06000040,Windsor and Maidenhead,E06000040,Windsor and Maidenhead,Windsor and Maidenhead,E12000008,South East,E92000001,England,4
E06000041,Wokingham,E06000041,Wokingham,Wokingham,E12000008,South East,E92000001,England,4
E06000042,Milton Keynes,E06000042,Milton Keynes,Bedfordshire and Milton Keynes,E12000008,South East,E92000001,England,4
E06000043,Brighton and Hove,E06000043,Brighton and Hove,Brighton and Hove,E12000008,South East,E92000001,England,2
E06000044,Portsmouth,E06000044,Portsmouth,"Hampshire (except the Isle of Wight), Portsmouth and Southampton",E12000008,South East,E92000001,England,4
E06000045,Southampton,E06000045,Southampton,"Hampshire (except the Isle of Wight), Portsmouth and Southampton",E12000008,South East,E92000001,England,2
E06000046,Isle of Wight,E06000046,Isle of Wight,Isle of Wight,E12000008,South East,E92000001,England,1
E06000047,County Durham,E06000047,County Durham,County Durham,E12000001,North East,E92000001,England,3
E06000049,Cheshire East,E06000049,Cheshire East,Warrington and Cheshire,E12000002,North West,E92000001,England,2
E06000050,Cheshire West and Chester,E06000050,Cheshire West and Chester,Warrington and Cheshire,E12000002,North West,E92000001,England,2
E06000051,Shropshire,E06000051,Shropshire,Shropshire and Telford & Wrekin,E12000005,West Midlands,E92000001,England,2
E06000052,Cornwall,E06000052,Cornwall,Cornwall,E12000009,South West,E92000001,England,1
E06000053,Isles of Scilly,E06000053,Isles of Scilly,Isles of Scilly,E12000009,South West,E92000001,England,1
E06000054,Wiltshire,E06000054,Wiltshire,Wiltshire and Swindon,E12000009,South West,E92000001,England,2
