nhs_name,date,sgtfv
East of England,2020-08-01,4.60647929894948e-05
East of England,2020-08-02,5.12053135957185e-05
East of England,2020-08-03,5.69195805688918e-05
East of England,2020-08-04,6.32716379724624e-05
East of England,2020-08-05,7.03326785044836e-05
East of England,2020-08-06,7.8181841169523e-05
East of England,2020-08-07,8.69070978730259e-05
East of England,2020-08-08,9.66062388284538e-05
East of England,2020-08-09,0.000107387967761959
East of England,2020-08-10,0.000119373119113559
East of England,2020-08-11,0.000132696010780523
East of England,2020-08-12,0.000147505947442006
East of England,2020-08-13,0.000163968891159385
East of England,2020-08-14,0.000182269317781187
East of England,2020-08-15,0.000202612279713582
East of England,2020-08-16,0.000225225697867454
East of England,2020-08-17,0.00025036290808336
East of England,2020-08-18,0.000278305490090298
East of England,2020-08-19,0.000309366410099563
East of England,2020-08-20,0.000343893511499362
East of England,2020-08-21,0.000382273391830109
East of England,2020-08-22,0.000424935708317227
East of England,2020-08-23,0.000472357958753194
East of England,2020-08-24,0.000525070789490673
East of England,2020-08-25,0.000583663887773338
East of England,2020-08-26,0.000648792521631515
East of England,2020-08-27,0.000721184797148279
East of England,2020-08-28,0.00080164971010142
East of England,2020-08-29,0.000891086076850525
East of England,2020-08-30,0.000990492437908009
East of England,2020-08-31,0.0011009780369471
East of England,2020-09-01,0.00122377498809261
East of England,2020-09-02,0.00136025175523834
East of England,2020-09-03,0.00151192807885449
East of England,2020-09-04,0.00168049149828997
East of England,2020-09-05,0.0018678156309198
East of England,2020-09-06,0.00207598038359003
East of England,2020-09-07,0.00230729428659155
East of England,2020-09-08,0.00256431915572269
East of England,2020-09-09,0.00284989730369501
East of England,2020-09-10,0.00316718153793825
East of England,2020-09-11,0.00351966819741967
East of England,2020-09-12,0.00391123349594415
East of England,2020-09-13,0.00434617345293646
East of England,2020-09-14,0.00482924770414358
East of England,2020-09-15,0.00536572749303469
East of England,2020-09-16,0.00596144814766448
East of England,2020-09-17,0.00662286634583182
East of England,2020-09-18,0.00735712246157107
East of England,2020-09-19,0.00817210826597396
East of England,2020-09-20,0.00907654022215931
East of England,2020-09-21,0.0100800385643879
East of England,2020-09-22,0.011193212280682
East of England,2020-09-23,0.0124277500219045
East of England,2020-09-24,0.0137965168322841
East of England,2020-09-25,0.0153136564301441
East of England,2020-09-26,0.0169946985554505
East of England,2020-09-27,0.0188566706341879
East of England,2020-09-28,0.0209182126790895
East of England,2020-09-29,0.0231996939418746
East of England,2020-09-30,0.0257233293435579
East of England,2020-10-01,0.0285132931265435
East of England,2020-10-02,0.0315958264861188
