date,location,indicator,value,description
2020-02-29,Scotland,death_inc_line,0,All deaths (by date of death)
2020-03-01,Scotland,death_inc_line,0,All deaths (by date of death)
2020-03-02,East of England,death_inc_line,1,All deaths (by date of death)
2020-03-02,Scotland,death_inc_line,0,All deaths (by date of death)
2020-03-03,Midlands,death_inc_line,1,All deaths (by date of death)
2020-03-03,Scotland,death_inc_line,0,All deaths (by date of death)
2020-03-03,South East,death_inc_line,1,All deaths (by date of death)
2020-03-04,Scotland,death_inc_line,0,All deaths (by date of death)
2020-03-05,East of England,death_inc_line,1,All deaths (by date of death)
2020-03-05,North West,death_inc_line,1,All deaths (by date of death)
2020-03-05,Scotland,death_inc_line,0,All deaths (by date of death)
2020-03-05,South East,death_inc_line,1,All deaths (by date of death)
2020-03-06,Scotland,death_inc_line,0,All deaths (by date of death)
2020-03-07,Scotland,death_inc_line,0,All deaths (by date of death)
2020-03-08,Midlands,death_inc_line,1,All deaths (by date of death)
2020-03-08,North West,death_inc_line,1,All deaths (by date of death)
2020-03-08,Scotland,death_inc_line,0,All deaths (by date of death)
2020-03-08,South East,death_inc_line,1,All deaths (by date of death)
2020-03-09,East of England,death_inc_line,1,All deaths (by date of death)
2020-03-09,London,death_inc_line,2,All deaths (by date of death)
2020-03-09,Northern Ireland,death_inc_line,0,All deaths (by date of death)
2020-03-09,Scotland,death_inc_line,0,All deaths (by date of death)
2020-03-09,South East,death_inc_line,1,All deaths (by date of death)
2020-03-09,South West,death_inc_line,1,All deaths (by date of death)
2020-03-10,London,death_inc_line,1,All deaths (by date of death)
2020-03-10,Midlands,death_inc_line,1,All deaths (by date of death)
2020-03-10,Northern Ireland,death_inc_line,0,All deaths (by date of death)
2020-03-10,Scotland,death_inc_line,0,All deaths (by date of death)
2020-03-10,South East,death_inc_line,1,All deaths (by date of death)
2020-03-11,London,death_inc_line,4,All deaths (by date of death)
2020-03-11,Midlands,death_inc_line,1,All deaths (by date of death)
2020-03-11,North West,death_inc_line,1,All deaths (by date of death)
2020-03-11,Northern Ireland,death_inc_line,0,All deaths (by date of death)
2020-03-11,Scotland,death_inc_line,0,All deaths (by date of death)
2020-03-11,South East,death_inc_line,1,All deaths (by date of death)
2020-03-11,South West,death_inc_line,1,All deaths (by date of death)
2020-03-12,London,death_inc_line,6,All deaths (by date of death)
2020-03-12,Midlands,death_inc_line,5,All deaths (by date of death)
2020-03-12,North East and Yorkshire,death_inc_line,1,All deaths (by date of death)
2020-03-12,Northern Ireland,death_inc_line,0,All deaths (by date of death)
2020-03-12,Scotland,death_inc_line,1,All deaths (by date of death)
2020-03-13,East of England,death_inc_line,1,All deaths (by date of death)
2020-03-13,London,death_inc_line,6,All deaths (by date of death)
2020-03-13,Midlands,death_inc_line,4,All deaths (by date of death)
2020-03-13,North West,death_inc_line,3,All deaths (by date of death)
2020-03-13,Northern Ireland,death_inc_line,0,All deaths (by date of death)
2020-03-13,Scotland,death_inc_line,0,All deaths (by date of death)
2020-03-13,South East,death_inc_line,2,All deaths (by date of death)
2020-03-14,East of England,death_inc_line,1,All deaths (by date of death)
2020-03-14,London,death_inc_line,11,All deaths (by date of death)
2020-03-14,Midlands,death_inc_line,4,All deaths (by date of death)
2020-03-14,North West,death_inc_line,1,All deaths (by date of death)
2020-03-14,Northern Ireland,death_inc_line,0,All deaths (by date of death)
2020-03-14,Scotland,death_inc_line,2,All deaths (by date of death)
2020-03-14,South East,death_inc_line,2,All deaths (by date of death)
2020-03-14,South West,death_inc_line,1,All deaths (by date of death)
2020-03-15,East of England,death_inc_line,4,All deaths (by date of death)
2020-03-15,London,death_inc_line,10,All deaths (by date of death)
2020-03-15,Midlands,death_inc_line,4,All deaths (by date of death)
