sample_date,nhs,all,var2,nhs_name
2020-02-05,E40000005,1,0,South East
2020-02-08,E40000005,2,0,South East
2020-02-16,E40000003,1,0,London
2020-02-23,E40000003,1,0,London
2020-02-24,E40000003,1,0,London
2020-02-24,E40000010,1,0,North West
2020-02-25,E40000009,1,0,North East and Yorkshire
2020-02-25,E40000010,1,0,North West
2020-02-26,E40000007,1,0,East of England
2020-02-27,E40000003,1,0,London
2020-02-27,E40000006,1,0,South West
2020-02-27,E40000007,1,0,East of England
2020-02-27,E40000009,1,0,North East and Yorkshire
2020-02-27,W99999999,1,0,Wales
2020-02-28,E40000005,2,0,South East
2020-02-28,E40000009,2,0,North East and Yorkshire
2020-02-28,E40000010,1,0,North West
2020-02-28,S99999999,1,0,Scotland
2020-02-29,E40000003,6,0,London
2020-02-29,E40000006,1,0,South West
2020-03-01,E40000003,5,0,London
2020-03-01,E40000005,1,0,South East
2020-03-01,E40000007,2,0,East of England
2020-03-01,E40000008,1,0,Midlands
2020-03-01,E40000009,1,0,North East and Yorkshire
2020-03-01,E40000010,3,0,North West
2020-03-01,S99999999,1,0,Scotland
2020-03-02,E40000003,10,0,London
2020-03-02,E40000005,1,0,South East
2020-03-02,E40000006,6,0,South West
2020-03-02,E40000008,3,0,Midlands
2020-03-02,E40000009,5,0,North East and Yorkshire
2020-03-02,E40000010,6,0,North West
2020-03-02,S99999999,1,0,Scotland
2020-03-03,E40000003,6,0,London
2020-03-03,E40000005,7,0,South East
2020-03-03,E40000006,7,0,South West
2020-03-03,E40000007,3,0,East of England
2020-03-03,E40000008,6,0,Midlands
2020-03-03,E40000009,6,0,North East and Yorkshire
2020-03-03,E40000010,3,0,North West
2020-03-03,S99999999,2,0,Scotland
2020-03-04,E40000003,22,0,London
2020-03-04,E40000005,7,0,South East
2020-03-04,E40000006,4,0,South West
2020-03-04,E40000007,7,0,East of England
2020-03-04,E40000008,4,0,Midlands
2020-03-04,E40000009,2,0,North East and Yorkshire
2020-03-04,E40000010,2,0,North West
2020-03-04,S99999999,5,0,Scotland
2020-03-05,E40000003,15,0,London
2020-03-05,E40000005,4,0,South East
2020-03-05,E40000006,3,0,South West
2020-03-05,E40000008,5,0,Midlands
2020-03-05,E40000009,9,0,North East and Yorkshire
2020-03-05,E40000010,7,0,North West
2020-03-05,S99999999,3,0,Scotland
2020-03-06,E40000003,20,0,London
2020-03-06,E40000005,12,0,South East
2020-03-06,E40000006,5,0,South West
2020-03-06,E40000007,5,0,East of England
2020-03-06,E40000008,6,0,Midlands
2020-03-06,E40000010,3,0,North West
2020-03-06,S99999999,7,0,Scotland
2020-03-07,E40000003,13,0,London
2020-03-07,E40000005,3,0,South East
2020-03-07,E40000006,2,0,South West
2020-03-07,E40000007,2,0,East of England
2020-03-07,E40000008,6,0,Midlands
2020-03-07,E40000009,1,0,North East and Yorkshire
2020-03-07,E40000010,5,0,North West
2020-03-07,S99999999,5,0,Scotland
2020-03-08,E40000003,23,0,London
2020-03-08,E40000005,2,0,South East
2020-03-08,E40000006,3,0,South West
2020-03-08,E40000007,4,0,East of England
2020-03-08,E40000008,3,0,Midlands
2020-03-08,E40000009,3,0,North East and Yorkshire
2020-03-08,E40000010,4,0,North West
2020-03-08,S99999999,1,0,Scotland
2020-03-08,W99999999,1,0,Wales
2020-03-09,E40000003,45,0,London
2020-03-09,E40000005,4,0,South East
2020-03-09,E40000006,4,0,South West
2020-03-09,E40000007,6,0,East of England
2020-03-09,E40000008,1,0,Midlands
2020-03-09,E40000009,6,0,North East and Yorkshire
2020-03-09,E40000010,6,0,North West
2020-03-09,S99999999,11,0,Scotland
2020-03-10,E40000003,57,0,London
2020-03-10,E40000005,2,0,South East
2020-03-10,E40000006,8,0,South West
2020-03-10,E40000007,18,0,East of England
2020-03-10,E40000008,6,0,Midlands
2020-03-10,E40000009,5,0,North East and Yorkshire
2020-03-10,E40000010,11,0,North West
2020-03-10,N99999999,2,0,Northern Ireland
2020-03-10,S99999999,5,0,Scotland
2020-03-11,E40000003,82,0,London
2020-03-11,E40000005,6,0,South East
2020-03-11,E40000006,11,0,South West
2020-03-11,E40000007,10,0,East of England
2020-03-11,E40000008,20,0,Midlands
2020-03-11,E40000009,3,0,North East and Yorkshire
2020-03-11,E40000010,8,0,North West
2020-03-11,N99999999,3,0,Northern Ireland
2020-03-11,S99999999,11,0,Scotland
2020-03-12,E40000003,78,0,London
2020-03-12,E40000005,5,0,South East
2020-03-12,E40000006,8,0,South West
2020-03-12,E40000007,20,0,East of England
2020-03-12,E40000008,24,0,Midlands
2020-03-12,E40000009,16,0,North East and Yorkshire
2020-03-12,E40000010,13,0,North West
2020-03-12,S99999999,31,0,Scotland
2020-03-13,E40000003,43,0,London
2020-03-13,E40000005,2,0,South East
2020-03-13,E40000006,14,0,South West
2020-03-13,E40000007,16,0,East of England
2020-03-13,E40000008,6,0,Midlands
2020-03-13,E40000009,9,0,North East and Yorkshire
2020-03-13,E40000010,14,0,North West
2020-03-13,N99999999,1,0,Northern Ireland
2020-03-13,S99999999,43,0,Scotland
2020-03-14,E40000003,46,0,London
2020-03-14,E40000005,6,0,South East
2020-03-14,E40000006,10,0,South West
2020-03-14,E40000007,12,0,East of England
2020-03-14,E40000008,6,0,Midlands
2020-03-14,E40000009,7,0,North East and Yorkshire
2020-03-14,E40000010,10,0,North West
2020-03-14,N99999999,6,0,Northern Ireland
2020-03-14,S99999999,14,0,Scotland
