sample_date,nhs_name,variant,count,total,sample_date_num,prop
2020-02-05,South East,B,1,1,18297,1
2020-02-08,South East,B,2,2,18300,1
2020-02-28,South East,B,0,2,18320,0
2020-03-01,South East,B,0,1,18322,0
2020-03-02,South East,B,1,1,18323,1
2020-03-03,South East,B,0,7,18324,0
2020-03-04,South East,B,1,7,18325,0.142857142857143
2020-03-05,South East,B,0,4,18326,0
2020-03-06,South East,B,3,12,18327,0.25
2020-03-07,South East,B,1,3,18328,0.333333333333333
2020-03-08,South East,B,1,2,18329,0.5
2020-03-09,South East,B,0,4,18330,0
2020-03-10,South East,B,1,2,18331,0.5
2020-03-11,South East,B,0,6,18332,0
2020-03-12,South East,B,1,5,18333,0.2
2020-03-13,South East,B,0,2,18334,0
2020-03-14,South East,B,2,6,18335,0.333333333333333
2020-03-15,South East,B,2,7,18336,0.285714285714286
2020-03-16,South East,B,1,3,18337,0.333333333333333
2020-03-17,South East,B,2,10,18338,0.2
2020-03-18,South East,B,0,7,18339,0
2020-03-19,South East,B,1,22,18340,0.0454545454545455
2020-03-20,South East,B,3,22,18341,0.136363636363636
2020-03-21,South East,B,3,27,18342,0.111111111111111
2020-03-22,South East,B,3,22,18343,0.136363636363636
2020-03-23,South East,B,3,25,18344,0.12
2020-03-24,South East,B,3,32,18345,0.09375
2020-03-25,South East,B,3,29,18346,0.103448275862069
2020-03-26,South East,B,3,25,18347,0.12
2020-03-27,South East,B,2,22,18348,0.0909090909090909
2020-03-28,South East,B,1,21,18349,0.0476190476190476
2020-03-29,South East,B,1,16,18350,0.0625
2020-03-30,South East,B,3,32,18351,0.09375
2020-03-31,South East,B,0,40,18352,0
2020-04-01,South East,B,1,29,18353,0.0344827586206897
2020-04-02,South East,B,2,27,18354,0.0740740740740741
2020-04-03,South East,B,1,29,18355,0.0344827586206897
2020-04-04,South East,B,0,23,18356,0
2020-04-05,South East,B,0,34,18357,0
2020-04-06,South East,B,3,46,18358,0.0652173913043478
2020-04-07,South East,B,1,54,18359,0.0185185185185185
2020-04-08,South East,B,0,41,18360,0
2020-04-09,South East,B,1,36,18361,0.0277777777777778
2020-04-10,South East,B,1,32,18362,0.03125
2020-04-11,South East,B,1,16,18363,0.0625
2020-04-12,South East,B,1,17,18364,0.0588235294117647
2020-04-13,South East,B,1,33,18365,0.0303030303030303
2020-04-14,South East,B,2,43,18366,0.0465116279069767
2020-04-15,South East,B,3,49,18367,0.0612244897959184
2020-04-16,South East,B,0,45,18368,0
2020-04-17,South East,B,1,30,18369,0.0333333333333333
2020-04-18,South East,B,0,28,18370,0
2020-04-19,South East,B,0,22,18371,0
2020-04-20,South East,B,0,45,18372,0
2020-04-21,South East,B,1,39,18373,0.0256410256410256
2020-04-22,South East,B,0,36,18374,0
2020-04-23,South East,B,0,31,18375,0
2020-04-24,South East,B,0,23,18376,0
2020-04-25,South East,B,0,10,18377,0
2020-04-26,South East,B,0,11,18378,0
2020-04-27,South East,B,0,24,18379,0
2020-04-28,South East,B,0,25,18380,0
2020-04-29,South East,B,0,11,18381,0
2020-04-30,South East,B,0,14,18382,0
2020-05-01,South East,B,0,15,18383,0
2020-05-02,South East,B,0,9,18384,0
2020-05-03,South East,B,0,6,18385,0
2020-05-04,South East,B,0,13,18386,0
2020-05-05,South East,B,0,14,18387,0
2020-05-06,South East,B,1,18,18388,0.0555555555555556
2020-05-07,South East,B,0,9,18389,0
2020-05-08,South East,B,0,7,18390,0
2020-05-09,South East,B,0,3,18391,0
2020-05-10,South East,B,0,5,18392,0
2020-05-11,South East,B,0,1,18393,0
2020-05-12,South East,B,0,3,18394,0
2020-05-13,South East,B,0,6,18395,0
2020-05-14,South East,B,0,7,18396,0
2020-05-15,South East,B,1,11,18397,0.0909090909090909
2020-05-16,South East,B,0,4,18398,0
