YEAR,WEEK,COUNTRY,REGION,B117,TOTAL
2020,40,DENMARK,Hovedstaden,0,116
2020,41,DENMARK,Hovedstaden,0,176
2020,42,DENMARK,Hovedstaden,0,444
2020,43,DENMARK,Hovedstaden,0,153
2020,44,DENMARK,Hovedstaden,0,549
2020,45,DENMARK,Hovedstaden,0,656
2020,46,DENMARK,Hovedstaden,4,420
2020,47,DENMARK,Hovedstaden,0,588
2020,48,DENMARK,Hovedstaden,3,688
2020,49,DENMARK,Hovedstaden,0,865
2020,50,DENMARK,Hovedstaden,2,1048
2020,51,DENMARK,Hovedstaden,4,1099
2020,52,DENMARK,Hovedstaden,13,1248
2020,53,DENMARK,Hovedstaden,14,1166
2021,1,DENMARK,Hovedstaden,30,1055
2021,2,DENMARK,Hovedstaden,19,405
2020,40,DENMARK,Midtjylland,0,82
2020,41,DENMARK,Midtjylland,0,105
2020,42,DENMARK,Midtjylland,0,208
2020,43,DENMARK,Midtjylland,0,56
2020,44,DENMARK,Midtjylland,0,187
2020,45,DENMARK,Midtjylland,0,242
2020,46,DENMARK,Midtjylland,0,273
2020,47,DENMARK,Midtjylland,0,313
2020,48,DENMARK,Midtjylland,0,336
2020,49,DENMARK,Midtjylland,0,420
2020,50,DENMARK,Midtjylland,0,457
2020,51,DENMARK,Midtjylland,0,642
2020,52,DENMARK,Midtjylland,6,317
2020,53,DENMARK,Midtjylland,13,311
2021,1,DENMARK,Midtjylland,15,303
2021,2,DENMARK,Midtjylland,4,78
2020,40,DENMARK,Nordjylland,0,40
2020,41,DENMARK,Nordjylland,0,47
2020,42,DENMARK,Nordjylland,0,139
2020,43,DENMARK,Nordjylland,0,40
2020,44,DENMARK,Nordjylland,0,236
2020,45,DENMARK,Nordjylland,0,220
2020,46,DENMARK,Nordjylland,0,307
2020,47,DENMARK,Nordjylland,0,244
2020,48,DENMARK,Nordjylland,0,169
2020,49,DENMARK,Nordjylland,3,64
2020,50,DENMARK,Nordjylland,7,97
2020,51,DENMARK,Nordjylland,9,294
2020,52,DENMARK,Nordjylland,18,349
2020,53,DENMARK,Nordjylland,7,261
2021,1,DENMARK,Nordjylland,5,209
2021,2,DENMARK,Nordjylland,1,39
2020,40,DENMARK,Sjælland,0,66
2020,41,DENMARK,Sjælland,0,26
2020,42,DENMARK,Sjælland,0,93
2020,43,DENMARK,Sjælland,0,37
2020,44,DENMARK,Sjælland,0,131
2020,45,DENMARK,Sjælland,0,186
2020,46,DENMARK,Sjælland,0,136
2020,47,DENMARK,Sjælland,0,144
2020,48,DENMARK,Sjælland,0,165
2020,49,DENMARK,Sjælland,0,262
2020,50,DENMARK,Sjælland,0,222
2020,51,DENMARK,Sjælland,3,375
2020,52,DENMARK,Sjælland,11,314
2020,53,DENMARK,Sjælland,7,444
2021,1,DENMARK,Sjælland,22,506
2021,2,DENMARK,Sjælland,22,178
2020,40,DENMARK,Syddanmark,0,89
2020,41,DENMARK,Syddanmark,0,48
2020,42,DENMARK,Syddanmark,0,149
2020,43,DENMARK,Syddanmark,0,44
2020,44,DENMARK,Syddanmark,0,175
2020,45,DENMARK,Syddanmark,0,183
2020,46,DENMARK,Syddanmark,0,163
2020,47,DENMARK,Syddanmark,0,259
2020,48,DENMARK,Syddanmark,0,196
2020,49,DENMARK,Syddanmark,0,227
2020,50,DENMARK,Syddanmark,1,531
2020,51,DENMARK,Syddanmark,7,472
2020,52,DENMARK,Syddanmark,9,536
2020,53,DENMARK,Syddanmark,24,525
2021,1,DENMARK,Syddanmark,25,407
2021,2,DENMARK,Syddanmark,10,99
