"Week";"Region";"yes";"total";"percent"
"2020-W42";"Whole Denmark";0;1037;0
"2020-W43";"Whole Denmark";0;355;0
"2020-W44";"Whole Denmark";0;1228;0
"2020-W45";"Whole Denmark";0;1508;0
"2020-W46";"Whole Denmark";4;1341;0,3
"2020-W47";"Whole Denmark";0;1644;0
"2020-W48";"Whole Denmark";3;1657;0,2
"2020-W49";"Whole Denmark";3;1950;0,2
"2020-W50";"Whole Denmark";11;2604;0,4
"2020-W51";"Whole Denmark";26;3453;0,8
"2020-W52";"Whole Denmark";62;3107;2
"2020-W53";"Whole Denmark";76;3337;2,3
"2021-W01";"Whole Denmark";144;3629;4
"2021-W02";"Whole Denmark";259;3466;7,5
"2021-W03";"Whole Denmark";412;3222;12,8
"2021-W04";"Whole Denmark";313;1640;19,1
"2020-W42";"Hovedstaden";0;449;0
"2020-W43";"Hovedstaden";0;178;0
"2020-W44";"Hovedstaden";0;564;0
"2020-W45";"Hovedstaden";0;660;0
"2020-W46";"Hovedstaden";4;429;0,9
"2020-W47";"Hovedstaden";0;640;0
"2020-W48";"Hovedstaden";3;753;0,4
"2020-W49";"Hovedstaden";0;960;0
"2020-W50";"Hovedstaden";3;1217;0,2
"2020-W51";"Hovedstaden";4;1398;0,3
"2020-W52";"Hovedstaden";16;1329;1,2
"2020-W53";"Hovedstaden";16;1352;1,2
"2021-W01";"Hovedstaden";43;1362;3,2
"2021-W02";"Hovedstaden";105;1516;6,9
"2021-W03";"Hovedstaden";170;1255;13,5
"2021-W04";"Hovedstaden";139;655;21,2
"2020-W42";"Midtjylland";0;208;0
"2020-W43";"Midtjylland";0;54;0
"2020-W44";"Midtjylland";0;181;0
"2020-W45";"Midtjylland";0;263;0
"2020-W46";"Midtjylland";0;302;0
"2020-W47";"Midtjylland";0;328;0
"2020-W48";"Midtjylland";0;350;0
"2020-W49";"Midtjylland";0;422;0
"2020-W50";"Midtjylland";0;470;0
"2020-W51";"Midtjylland";0;694;0
"2020-W52";"Midtjylland";8;522;1,5
"2020-W53";"Midtjylland";21;704;3
"2021-W01";"Midtjylland";26;828;3,1
"2021-W02";"Midtjylland";22;480;4,6
"2021-W03";"Midtjylland";50;458;10,9
"2021-W04";"Midtjylland";30;216;13,9
"2020-W42";"Nordjylland";0;138;0
"2020-W43";"Nordjylland";0;39;0
"2020-W44";"Nordjylland";0;177;0
"2020-W45";"Nordjylland";0;216;0
"2020-W46";"Nordjylland";0;308;0
"2020-W47";"Nordjylland";0;246;0
"2020-W48";"Nordjylland";0;170;0
"2020-W49";"Nordjylland";3;64;4,7
"2020-W50";"Nordjylland";7;104;6,7
"2020-W51";"Nordjylland";12;344;3,5
"2020-W52";"Nordjylland";18;362;5
"2020-W53";"Nordjylland";7;270;2,6
"2021-W01";"Nordjylland";5;245;2
"2021-W02";"Nordjylland";5;324;1,5
"2021-W03";"Nordjylland";24;358;6,7
"2021-W04";"Nordjylland";11;150;7,3
"2020-W42";"Sjælland";0;93;0
"2020-W43";"Sjælland";0;40;0
"2020-W44";"Sjælland";0;132;0
"2020-W45";"Sjælland";0;187;0
"2020-W46";"Sjælland";0;136;0
"2020-W47";"Sjælland";0;150;0
"2020-W48";"Sjælland";0;172;0
"2020-W49";"Sjælland";0;266;0
"2020-W50";"Sjælland";0;242;0
"2020-W51";"Sjælland";3;399;0,8
"2020-W52";"Sjælland";11;331;3,3
"2020-W53";"Sjælland";7;461;1,5
"2021-W01";"Sjælland";37;617;6
"2021-W02";"Sjælland";68;619;11
"2021-W03";"Sjælland";77;579;13,3
"2021-W04";"Sjælland";70;324;21,6
"2020-W42";"Syddanmark";0;149;0
"2020-W43";"Syddanmark";0;44;0
"2020-W44";"Syddanmark";0;174;0
"2020-W45";"Syddanmark";0;182;0
"2020-W46";"Syddanmark";0;166;0
"2020-W47";"Syddanmark";0;280;0
"2020-W48";"Syddanmark";0;212;0
"2020-W49";"Syddanmark";0;238;0
"2020-W50";"Syddanmark";1;571;0,2
"2020-W51";"Syddanmark";7;618;1,1
"2020-W52";"Syddanmark";9;563;1,6
"2020-W53";"Syddanmark";25;550;4,5
"2021-W01";"Syddanmark";33;577;5,7
"2021-W02";"Syddanmark";59;527;11,2
"2021-W03";"Syddanmark";91;572;15,9
"2021-W04";"Syddanmark";63;295;21,4
