contrast,age_group,data_type,odds.ratio,SE,df,z.ratio,p.value,asymp.LCL,asymp.UCL,P0,RR,RR.LCL,RR.UCL
VOC / non_VOC,0-9,sequencing,1.49369739753241,0.0762837049500535,Inf,7.85689203497453,3.94e-15,1.35142339112295,1.65094960620829,0.0890002722302583,1.43082795775373,1.31043714028725,1.56054019065808
VOC / non_VOC,10-19,sequencing,1.34869523217803,0.0644819168395967,Inf,6.25672305776729,3.93e-10,1.22805374240217,1.48118829534421,0.121410944825256,1.29391672719916,1.19496722653946,1.39943137922984
VOC / non_VOC,20-29,sequencing,1.39329957352866,0.0676331819903627,Inf,6.83277414344228,8.33e-12,1.26685147791402,1.53236881784408,0.175889539556591,1.30315112229222,1.21005583317457,1.40116626249027
VOC / non_VOC,30-39,sequencing,1.50642030143153,0.072397076287965,Inf,8.52568810764206,< 1e-16,1.37100251632325,1.65521368308709,0.191414621986165,1.37329794749341,1.28009609956803,1.47075526485436
VOC / non_VOC,40-49,sequencing,1.53274889852377,0.0727966825354702,Inf,8.99189354091504,< 1e-16,1.39650944234388,1.68227948533077,0.204602710135018,1.38209767009051,1.29171648023069,1.47620660584367
VOC / non_VOC,50-59,sequencing,1.50513378816938,0.0729836987117332,Inf,8.43231856461989,< 1e-16,1.36867544984735,1.65519716200197,0.202290012342589,1.36559271711569,1.2736848474286,1.46149133181595
VOC / non_VOC,60-69,sequencing,1.4054701492342,0.0765745137320281,Inf,6.24728102424499,4.18e-10,1.26312241082339,1.56385978386746,0.20079674893112,1.29965594695025,1.19973543907137,1.40480595211211
VOC / non_VOC,70-79,sequencing,1.44295752850532,0.099449930019261,Inf,5.32051746480912,1.03e-07,1.26063097174856,1.65165419201319,0.247833747830561,1.3002196442528,1.18414341771967,1.42199869929038
VOC / non_VOC,80+,sequencing,1.1894532855099,0.114975492954522,Inf,1.79484113089141,7.27e-02,0.984165521719576,1.43756216529341,0.187140689108807,1.14872587761322,0.987090542622055,1.32875606456159
VOC / non_VOC,0-9,SGTF,1.47396249318703,0.0402913263666039,Inf,14.19238852026,< 1e-16,1.3970711164562,1.55508578320125,0.0891526613843651,1.41420522636641,1.34930576419886,1.48175749460096
VOC / non_VOC,10-19,SGTF,1.33087611336449,0.0273443653488855,Inf,13.9119792784612,< 1e-16,1.27834690802759,1.3855638230917,0.12135019370097,1.27950171353007,1.2365784401055,1.32363334248144
VOC / non_VOC,20-29,SGTF,1.37489113695143,0.0307733732293247,Inf,14.2243214756813,< 1e-16,1.31588026264952,1.43654836395329,0.176464833745398,1.28957891227336,1.24640353821238,1.33379860864504
VOC / non_VOC,30-39,SGTF,1.48651730059495,0.0317163830392777,Inf,18.5805857692073,< 1e-16,1.4256361632903,1.54999833889465,0.198085239560351,1.35585133654557,1.31478379464558,1.39772140965315
VOC / non_VOC,40-49,SGTF,1.51249804118959,0.0302281674477309,Inf,20.7030461591416,< 1e-16,1.45439728399798,1.57291982718358,0.199737514121156,1.37204820991538,1.33337951405497,1.41140742031357
VOC / non_VOC,50-59,SGTF,1.48524778489616,0.0330716585806513,Inf,17.7655656047962,< 1e-16,1.42182259433936,1.55150226991852,0.203150297965242,1.35197270573293,1.30959865191156,1.39518836456269
VOC / non_VOC,60-69,SGTF,1.38690091359033,0.0462248406677366,Inf,9.81325261842339,< 1e-16,1.29919767489286,1.48052462014782,0.207841966955973,1.28367514365226,1.22313594684973,1.34608666169714
VOC / non_VOC,70-79,SGTF,1.42389300523136,0.0767704715064268,Inf,6.55455403169633,5.58e-11,1.2811030351967,1.5825981475686,0.216182606367362,1.30436337031705,1.20771094036868,1.40556999920591
VOC / non_VOC,80+,SGTF,1.17373808988085,0.101543418266282,Inf,1.85167427368759,6.41e-02,0.990675296535699,1.39062830016524,0.19549286220019,1.13518213225301,0.992484509419853,1.29196716980758
VOC / non_VOC,avg,sequencing,1.42037813100301,0.06412250238158,Inf,7.77330133349797,7.65e-15,1.30010001715586,1.55178371541375,0.174599503645839,1.32325416893776,1.23536994993417,1.41542046219131
VOC / non_VOC,avg,SGTF,1.40161192936409,0.0188990448114821,Inf,25.0391679815933,< 1e-16,1.36505565976477,1.43914717797974,0.173679849084264,1.31022149182845,1.28366752889418,1.33716058234742
