contrast,diff_logistic_growth_rate,SE,z.ratio,p.value
Syddanmark - Nordjylland,0.0899141707908902,0.0420180174905592,2.13989560100241,2.03e-01
Syddanmark - Midtjylland,-0.0902489868594693,0.0824238946487781,-1.0949371810691,8.09e-01
Syddanmark - Sjælland,0.0454773358305213,0.0559053852257548,0.813469680011624,9.27e-01
Syddanmark - Hovedstaden,0.108730438373636,0.0413147911063424,2.63175573352817,6.47e-02
Nordjylland - Midtjylland,-0.180163157650359,0.0746742031159584,-2.41265591238505,1.12e-01
Nordjylland - Sjælland,-0.0444368349603689,0.0436592262577118,-1.01781086769763,8.47e-01
Nordjylland - Hovedstaden,0.0188162675827453,0.0220179881308597,0.854586144334098,9.13e-01
Midtjylland - Sjælland,0.135726322689991,0.0825206946395649,1.64475497065091,4.69e-01
Midtjylland - Hovedstaden,0.198979425233105,0.0749647987390337,2.65430480145473,6.10e-02
Sjælland - Hovedstaden,0.0632531025431142,0.0435119155067629,1.45369611533841,5.93e-01
